Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
Rb2CO3,bis(rubidium(1+));carbonate,"Rubidium carbonate; Dirubidium carbonate; Dirubidium monocarbonate; CARBONIC ACID, DIRUBIDIUM SALT; Carbonic acid, rubidium salt (1:2)",alkali; carbonate,Rb 3d5/2,109.4,0.1,Rb⁺,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
Cs2CO3,dicesium carbonate,CESIUM CARBONATE,alkali; carbonate,C 1s,288.1,0.1,CO₃²⁻,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
Cs2CO3,dicesium carbonate,CESIUM CARBONATE,alkali; carbonate,O 1s,529.9,0.1,CO₃²⁻,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
Cs2CO3,dicesium carbonate,CESIUM CARBONATE,alkali; carbonate,Cs 3d5/2,723.8,0.1,Cs⁺,5,10.2478/BF02475578,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Mn 3p,50.0,0.15,Mn⁴⁺,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Mn 3p,48.5,0.15,Mn³⁺,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Mn 3p,62.5,0.2,shake up,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Ni 3p,67.3,0.15,Ni²⁺,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Li 1s,54.1,0.15,Li⁺,6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
LiMn1.6Ni0.4O4,lithium manganese nickel oxide,LNMO,alkali; oxide,Ni 3p,69.0,0.15,Ni⁴⁺ (ox.),6,10.1021/jp1026509,C 1s (C-C/C-H) = 285.0 eV
